SequenceID,Pipeline,LibraryTube,LibraryBarcode,Final Library Concentration,Volume Added to Pool (uL),Run ID,Pooled Library Code,ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit, ExtractConcentration,ExtractBox,ExtractNotes,SampleID,SampleSubject,SampleDate,SampleCollectedBy,SampleNotes,SampleBox,Pooled Library ID,Pooled Library Code,Flow Cell Loaded By,Flow Cell ID,Flow Cell Type,Sequencer,MinION Position,Flongle Adapter,Kit,Run Date,Pipeline,Run Notes
HDZ-072-S34,16S,11,16S11,5.3,0.8,MIN_16_2024-6-10,PL002,HDZ-072-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 1,,HDZ-072,Warble,11/29/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-084-S35,16S,12,16S12,4.81,0.8,MIN_16_2024-6-10,PL002,HDZ-084-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 2,,HDZ-084,Culi,12/21/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-028-S36,16S,13,16S13,5.3,0.8,MIN_16_2024-6-10,PL002,HDZ-028-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,20,HDZ Loris DNA Extracts Box 1,,HDZ-028,Culi,11/5/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-030-S37,16S,14,16S14,3.83,1,MIN_16_2024-6-10,PL002,HDZ-030-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,21,HDZ Loris DNA Extracts Box 1,,HDZ-030,Warble,11/6/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
PL-NTC-002-CTRL,16S,15,16S15,2.72,1.4,MIN_16_2024-6-10,PL002,PL-NTC-002-E1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-077-S38,16S,16,16S16,0.854,4.7,MIN_16_2024-6-10,PL002,HDZ-077-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,28,HDZ Loris DNA Extracts Box 2,,HDZ-077,Culi?,11/27/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-083-S39,16S,17,16S17,0.597,6.7,MIN_16_2024-6-10,PL002,HDZ-083-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,56,HDZ Loris DNA Extracts Box 2,,HDZ-083,Warble,12/26/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-081-S40,16S,18,16S18,0.52,2.5,MIN_16_2024-6-10,PL002,HDZ-081-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,65,HDZ Loris DNA Extracts Box 2,,HDZ-081,Culi,12/31/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-082-S41,16S,19,16S19,0.912,2.5,MIN_16_2024-6-10,PL002,HDZ-082-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,79,HDZ Loris DNA Extracts Box 2,,HDZ-082,Warble,12/29/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-086-S42,16S,20,16S20,1.56,2.5,MIN_16_2024-6-10,PL002,HDZ-086-E1,3/6/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,83,HDZ Loris DNA Extracts Box 2,,HDZ-086,Culi,12/30/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-033-S43,16S,21,16S21,1.48,2.5,MIN_16_2024-6-10,PL002,HDZ-033-E1,2/12/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,86,HDZ Loris DNA Extracts Box 2,,HDZ-033,Warble,11/11/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-034-S44,16S,22,16S22,0.776,2.5,MIN_16_2024-6-10,PL002,HDZ-034-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,89,HDZ Loris DNA Extracts Box 2,,HDZ-034,Warble,11/12/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-038-S45,16S,23,16S23,0.672,2.5,MIN_16_2024-6-10,PL002,HDZ-038-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,90,HDZ Loris DNA Extracts Box 2,,HDZ-038,Culi,11/12/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-032-S46,16S,24,16S24,2.89,1.4,MIN_16_2024-6-10,PL002,HDZ-032-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,93,HDZ Loris DNA Extracts Box 2,,HDZ-032,Culi,11/11/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-177-S47,16S,1,16S1,2.68,1.5,MIN_16_2024-6-12,PL003,HDZ-177-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,4.89,HDZ Loris DNA Extracts Box 2,,HDZ-177,Warble,12/13/2023,HDZ Keepers,,4,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-046-S48,16S,2,16S2,0.701,5.7,MIN_16_2024-6-12,PL003,HDZ-046-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,6.3,HDZ Loris DNA Extracts Box 1,,HDZ-046,Culi,11/14/2023,HDZ Keepers,,2,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-045-S49,16S,3,16S3,1.47,2.7,MIN_16_2024-6-12,PL003,HDZ-045-E1,4/8/2024,WJ/MB,DNA,Quick-DNA Fecal/Soil Microbe,7.2,HDZ Loris DNA Extracts Box 2,,HDZ-045,Warble,11/7/2023,HDZ Keepers,,2,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-052-S50,16S,4,16S4,2.19,1.8,MIN_16_2024-6-12,PL003,HDZ-052-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,7.5,HDZ Loris DNA Extracts Box 2,,HDZ-052,Warble,11/13/2023,HDZ Keepers,,2,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-176-S51,16S,5,16S5,1.13,3.6,MIN_16_2024-6-12,PL003,HDZ-176-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,7.7,HDZ Loris DNA Extracts Box 2,,HDZ-176,Culi,12/9/2023,HDZ Keepers,,4,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-182-S52,16S,6,16S6,1.07,3.8,MIN_16_2024-6-12,PL003,HDZ-182-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,13,HDZ Loris DNA Extracts Box 2,,HDZ-182,Culi,12/8/2023,HDZ Keepers,,4,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-041-S53,16S,7,16S7,1.43,2.8,MIN_16_2024-6-12,PL003,HDZ-041-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,15,HDZ Loris DNA Extracts Box 1,,HDZ-041,Warble,11/13/2023,HDZ Keepers,,1,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-051-S54,16S,8,16S8,5.4,0.7,MIN_16_2024-6-12,PL003,HDZ-051-E1,1/6/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,17,HDZ Loris DNA Extracts Box 1,,HDZ-051,Warble,11/14/2023,HDZ Keepers,,2,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-107-S55,16S,9,16S9,5.2,0.8,MIN_16_2024-6-12,PL003,HDZ-107-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,17,HDZ Loris DNA Extracts Box 2,,HDZ-107,Warble,1/2/2024,HDZ Keepers,,3,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-191-S56,16S,10,16S10,1.57,2.6,MIN_16_2024-6-12,PL003,HDZ-191-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,18,HDZ Loris DNA Extracts Box 2,,HDZ-191,Warble,1/7/2024,HDZ Keepers,"Tests indicate Warble is not pregnant, no metaboilte evidence of conception",4,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-101-S57,16S,11,16S11,0.878,4.6,MIN_16_2024-6-12,PL003,HDZ-101-E1,4/4/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,20,HDZ Loris DNA Extracts Box 2,,HDZ-101,Warble,12/24/2023,HDZ Keepers,Very little stabilizer in the tube,3,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-168-S58,16S,12,16S12,1.62,2.5,MIN_16_2024-6-12,PL003,HDZ-168-E1,4/9/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,20,HDZ Loris DNA Extracts Box 2,,HDZ-168,Culi,12/17/2023,HDZ Keepers,,3,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-190-S59,16S,13,16S13,3.55,1.1,MIN_16_2024-6-12,PL003,HDZ-190-E1,4/15/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,20,HDZ Loris DNA Extracts Box 2,,HDZ-190,Culi,1/6/2024,HDZ Keepers,,4,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
HDZ-108-S60,16S,14,16S14,3.88,1,MIN_16_2024-6-12,PL003,HDZ-108-E1,4/8/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,21,HDZ Loris DNA Extracts Box 2,,HDZ-108,Culi,12/27/2023,HDZ Keepers,,3,PL003,16S_HDZ-PL-003,SA,AUA949,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/12/2024,16S,
